invoice_id,invoice_number,supplier_id,department_id,po_id,invoice_date,invoice_amount,currency,payment_terms_days,due_date,invoice_status,missing_po_flag,round_amount_flag,high_value_invoice_flag,invoice_due_days,duplicate_invoice_flag
INV0000001,FCT-634138,SUP00091,DPT009,PO0002176,2024-03-06,1082.2,EUR,30,2024-04-05,Validated,0,0,0,30,0
INV0000002,FCT-562234,SUP00057,DPT002,PO0003629,2024-07-06,17142.87,DZD,15,2024-07-21,Validated,0,0,0,15,0
INV0000003,FCT-647518,SUP00011,DPT002,,2024-06-22,1411.51,DZD,30,2024-07-22,Validated,1,0,0,30,0
INV0000004,FCT-802936,SUP00017,DPT006,,2024-10-24,3925.9,DZD,90,2025-01-22,Validated,1,0,0,90,0
INV0000005,FCT-449867,SUP00004,DPT009,PO0000920,2024-09-19,15000.0,DZD,60,2024-11-18,Pending Review,0,1,0,60,0
INV0000006,FCT-680723,SUP00063,DPT010,PO0003646,2024-10-24,7748.86,DZD,30,2024-11-23,Validated,0,0,0,30,0
INV0000007,FCT-487368,SUP00056,DPT004,PO0003562,2024-06-05,3532.68,DZD,15,2024-06-20,Validated,0,0,0,15,0
INV0000008,FCT-709390,SUP00002,DPT011,PO0001876,2024-04-29,980.58,DZD,45,2024-06-13,Validated,0,0,0,45,0
INV0000009,FCT-441135,SUP00279,DPT010,PO0000722,2024-08-25,1498.44,DZD,30,2024-09-24,Pending Review,0,0,0,30,0
INV0000010,FCT-279335,SUP00016,DPT010,PO0000428,2024-09-21,1790.48,USD,45,2024-11-05,Validated,0,0,0,45,0
INV0000011,FCT-954236,SUP00010,DPT005,PO0004956,2024-03-06,285.58,USD,45,2024-04-20,Validated,0,0,0,45,0
INV0000012,FCT-964644,SUP00004,DPT011,PO0004219,2024-11-19,50000.0,EUR,30,2024-12-19,Validated,0,1,0,30,0
INV0000013,FCT-638246,SUP00028,DPT004,,2024-06-25,10734.8,EUR,45,2024-08-09,Validated,1,0,0,45,0
INV0000014,FCT-681368,SUP00207,DPT004,PO0001226,2024-10-27,1750.1,USD,90,2025-01-25,Validated,0,0,0,90,0
INV0000015,FCT-243005,SUP00075,DPT001,PO0000692,2024-01-25,26908.89,DZD,45,2024-03-10,Validated,0,0,0,45,0
INV0000016,FCT-764720,SUP00028,DPT001,PO0003522,2024-04-29,5311.56,DZD,15,2024-05-14,Validated,0,0,0,15,0
INV0000017,FCT-793347,SUP00043,DPT012,PO0003256,2024-05-16,15908.57,DZD,30,2024-06-15,Pending Review,0,0,0,30,0
INV0000018,FCT-207786,SUP00232,DPT001,PO0000359,2024-09-27,14651.29,DZD,30,2024-10-27,Validated,0,0,0,30,0
INV0000019,FCT-724897,SUP00006,DPT004,PO0000614,2024-03-30,5144.66,DZD,60,2024-05-29,Validated,0,0,0,60,0
INV0000020,FCT-245672,SUP00245,DPT008,PO0004886,2024-09-26,581.89,DZD,45,2024-11-10,Validated,0,0,0,45,0
INV0000021,FCT-669971,SUP00005,DPT006,PO0000494,2024-10-30,7546.94,DZD,30,2024-11-29,Validated,0,0,0,30,0
INV0000022,FCT-805429,SUP00259,DPT005,PO0003651,2024-03-29,10996.92,EUR,30,2024-04-28,Validated,0,0,0,30,0
INV0000023,FCT-337681,SUP00241,DPT011,PO0000232,2024-12-24,2834.31,EUR,45,2025-02-07,Validated,0,0,0,45,0
INV0000024,FCT-878907,SUP00251,DPT009,,2024-09-01,7222.41,USD,60,2024-10-31,Validated,1,0,0,60,0
INV0000025,FCT-656780,SUP00007,DPT012,PO0001946,2024-07-04,5808.19,DZD,30,2024-08-03,Validated,0,0,0,30,0
INV0000026,FCT-989413,SUP00274,DPT004,PO0003423,2024-02-02,2005.65,DZD,30,2024-03-03,Pending Review,0,0,0,30,0
INV0000027,FCT-834708,SUP00003,DPT004,PO0001044,2024-07-05,5351.52,DZD,45,2024-08-19,Validated,0,0,0,45,0
INV0000028,FCT-666502,SUP00001,DPT007,PO0004138,2024-04-10,3342.28,DZD,30,2024-05-10,Validated,0,0,0,30,0
INV0000029,FCT-250479,SUP00313,DPT002,PO0000493,2024-05-31,9240.31,DZD,30,2024-06-30,Validated,0,0,0,30,0
INV0000030,FCT-956532,SUP00007,DPT011,,2024-01-11,3045.72,DZD,30,2024-02-10,Validated,1,0,0,30,0
