payment_id,invoice_id,supplier_id,department_id,payment_date,payment_amount,payment_method,payment_status,payment_weekday,weekend_payment_flag,cash_payment_flag,pending_or_failed_payment_flag
PAY0000001,INV0000001,SUP00077,DPT009,2024-06-11,1071.97,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000002,INV0000002,SUP00010,DPT004,2024-07-31,17212.18,Card,Completed,Wednesday,0,0,0
PAY0000003,INV0000003,SUP00011,DPT002,2024-07-19,1372.62,Bank Transfer,Completed,Friday,0,0,0
PAY0000004,INV0000004,SUP00017,DPT006,2025-02-10,3979.98,Bank Transfer,Completed,Monday,0,0,0
PAY0000005,INV0000005,SUP00079,DPT008,2024-12-20,15345.5,Bank Transfer,Completed,Friday,0,0,0
PAY0000006,INV0000006,SUP00308,DPT006,2024-11-15,7653.9,Bank Transfer,Completed,Friday,0,0,0
PAY0000007,INV0000007,SUP00012,DPT003,2024-06-29,3533.0,Card,Completed,Saturday,1,0,0
PAY0000008,INV0000008,SUP00286,DPT003,2024-06-22,995.14,Bank Transfer,Completed,Saturday,1,0,0
PAY0000009,INV0000009,SUP00007,DPT005,2024-09-17,1496.4,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000010,INV0000010,SUP00004,DPT002,2024-10-18,1782.42,Bank Transfer,Completed,Friday,0,0,0
PAY0000011,INV0000011,SUP00044,DPT009,2024-07-07,289.41,Card,Completed,Sunday,1,0,0
PAY0000012,INV0000012,SUP00307,DPT001,2024-12-30,50930.72,Bank Transfer,Failed,Monday,0,0,1
PAY0000013,INV0000013,SUP00028,DPT004,2024-08-15,10643.92,Check,Completed,Thursday,0,0,0
PAY0000014,INV0000014,SUP00202,DPT010,2025-02-05,1734.14,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000015,INV0000015,SUP00027,DPT005,2024-04-28,27095.42,Bank Transfer,Completed,Sunday,1,0,0
PAY0000016,INV0000016,SUP00232,DPT008,2024-05-15,5260.93,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000017,INV0000017,SUP00210,DPT002,2024-06-21,15664.84,Bank Transfer,Completed,Friday,0,0,0
PAY0000018,INV0000018,SUP00135,DPT004,2024-11-02,14519.77,Bank Transfer,Completed,Saturday,1,0,0
PAY0000019,INV0000019,SUP00094,DPT007,2024-06-23,5066.27,Bank Transfer,Completed,Sunday,1,0,0
PAY0000020,INV0000020,SUP00036,DPT010,2024-11-20,570.54,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000021,INV0000021,SUP00295,DPT006,2024-11-06,7728.3,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000022,INV0000022,SUP00059,DPT002,2024-04-01,10781.18,Bank Transfer,Completed,Monday,0,0,0
PAY0000023,INV0000023,SUP00014,DPT002,2025-03-03,2836.31,Bank Transfer,Pending,Monday,0,0,1
PAY0000024,INV0000025,SUP00120,DPT005,2024-08-12,5644.88,Check,Completed,Monday,0,0,0
PAY0000025,INV0000026,SUP00060,DPT002,2024-03-02,2053.06,Bank Transfer,Completed,Saturday,1,0,0
PAY0000026,INV0000027,SUP00133,DPT004,2024-08-10,5355.89,Bank Transfer,Completed,Saturday,1,0,0
PAY0000027,INV0000028,SUP00015,DPT001,2024-06-15,3417.7,Bank Transfer,Completed,Saturday,1,0,0
PAY0000028,INV0000029,SUP00022,DPT001,2024-07-09,9129.31,Bank Transfer,Completed,Tuesday,0,0,0
PAY0000029,INV0000030,SUP00007,DPT011,2024-02-24,3155.01,Bank Transfer,Completed,Saturday,1,0,0
PAY0000030,INV0000031,SUP00235,DPT005,2024-12-19,98239.89,Bank Transfer,Completed,Thursday,0,0,0
PAY0000031,INV0000032,SUP00123,DPT002,2024-03-16,920.5,Bank Transfer,Completed,Saturday,1,0,0
PAY0000032,INV0000033,SUP00217,DPT010,2024-08-02,73112.5,Bank Transfer,Completed,Friday,0,0,0
PAY0000033,INV0000034,SUP00012,DPT012,2024-02-24,3542.57,Bank Transfer,Completed,Saturday,1,0,0
PAY0000034,INV0000035,SUP00318,DPT010,2024-06-12,1634.12,Bank Transfer,Completed,Wednesday,0,0,0
PAY0000035,INV0000036,SUP00016,DPT008,2025-01-31,12016.66,Bank Transfer,Pending,Friday,0,0,1
