po_id,supplier_id,department_id,po_date,po_amount,approval_status,buyer
PO0000001,SUP00236,DPT003,2024-08-01,6357.41,Approved,Buyer_F
PO0000002,SUP00103,DPT001,2024-04-30,57405.72,Approved,Buyer_B
PO0000003,SUP00015,DPT008,2024-04-24,6521.27,Approved,Buyer_B
PO0000004,SUP00121,DPT005,2024-08-22,7277.17,Pending,Buyer_A
PO0000005,SUP00127,DPT002,2024-03-26,18755.29,Approved,Buyer_D
PO0000006,SUP00297,DPT006,2024-10-26,8277.59,Approved,Buyer_E
PO0000007,SUP00017,DPT012,2024-05-08,6535.53,Approved,Buyer_F
PO0000008,SUP00022,DPT001,2024-09-30,20468.57,Approved,Buyer_A
PO0000009,SUP00210,DPT004,2024-11-14,12989.38,Pending,Buyer_A
PO0000010,SUP00030,DPT004,2024-06-20,10814.31,Approved,Buyer_E
PO0000011,SUP00165,DPT002,2024-02-03,7053.08,Approved,Buyer_B
PO0000012,SUP00026,DPT005,2024-08-22,5732.66,Approved,Buyer_C
PO0000013,SUP00008,DPT006,2024-05-21,20275.55,Approved,Buyer_A
PO0000014,SUP00170,DPT002,2024-04-23,5787.97,Rejected,Buyer_A
PO0000015,SUP00005,DPT002,2024-06-02,27757.26,Rejected,Buyer_D
PO0000016,SUP00007,DPT010,2024-04-10,2843.68,Approved,Buyer_E
PO0000017,SUP00100,DPT003,2024-04-03,33988.72,Pending,Buyer_F
PO0000018,SUP00171,DPT006,2024-11-27,12991.36,Approved,Buyer_C
PO0000019,SUP00258,DPT006,2024-04-03,3076.25,Approved,Buyer_D
PO0000020,SUP00009,DPT009,2024-06-02,13480.22,Approved,Buyer_F
PO0000021,SUP00004,DPT008,2024-08-27,4228.9,Approved,Buyer_C
PO0000022,SUP00295,DPT009,2024-03-15,8378.53,Approved,Buyer_B
PO0000023,SUP00006,DPT006,2024-07-25,4980.93,Approved,Buyer_E
PO0000024,SUP00007,DPT004,2024-10-26,7094.59,Approved,Buyer_A
PO0000025,SUP00010,DPT004,2024-09-29,20773.45,Approved,Buyer_B
PO0000026,SUP00043,DPT003,2024-01-10,13609.34,Approved,Buyer_A
PO0000027,SUP00251,DPT004,2024-05-15,2629.73,Approved,Buyer_D
PO0000028,SUP00179,DPT001,2024-01-01,2784.72,Approved,Buyer_B
PO0000029,SUP00148,DPT004,2024-07-22,10622.99,Approved,Buyer_C
PO0000030,SUP00006,DPT003,2024-04-18,11420.75,Approved,Buyer_D
PO0000031,SUP00016,DPT001,2024-10-26,4128.03,Pending,Buyer_B
PO0000032,SUP00028,DPT003,2024-02-28,39787.79,Approved,Buyer_C
PO0000033,SUP00005,DPT008,2024-10-12,18278.76,Approved,Buyer_C
PO0000034,SUP00009,DPT005,2024-04-24,4334.77,Approved,Buyer_A
PO0000035,SUP00011,DPT009,2024-11-04,3935.31,Approved,Buyer_F
PO0000036,SUP00005,DPT005,2024-03-07,6452.27,Rejected,Buyer_F
PO0000037,SUP00055,DPT010,2024-03-31,5814.71,Approved,Buyer_E
PO0000038,SUP00146,DPT009,2024-04-27,28457.23,Approved,Buyer_A
PO0000039,SUP00003,DPT001,2024-11-26,21688.19,Approved,Buyer_C
PO0000040,SUP00028,DPT012,2024-09-02,8392.3,Approved,Buyer_C
PO0000041,SUP00192,DPT001,2024-09-30,15961.03,Pending,Buyer_A
PO0000042,SUP00172,DPT006,2024-07-04,18452.87,Approved,Buyer_F
PO0000043,SUP00211,DPT009,2024-09-23,8589.2,Approved,Buyer_C
PO0000044,SUP00025,DPT003,2024-07-29,12120.08,Approved,Buyer_D
PO0000045,SUP00215,DPT006,2024-08-11,14679.21,Approved,Buyer_E
PO0000046,SUP00008,DPT003,2024-10-07,13195.16,Approved,Buyer_B
PO0000047,SUP00016,DPT001,2024-11-25,3718.95,Approved,Buyer_C
PO0000048,SUP00006,DPT001,2024-07-11,4114.57,Approved,Buyer_F
PO0000049,SUP00026,DPT001,2024-05-27,6071.77,Pending,Buyer_E
PO0000050,SUP00019,DPT001,2024-08-06,3997.15,Approved,Buyer_D
PO0000051,SUP00008,DPT006,2024-09-05,1857.34,Approved,Buyer_D
PO0000052,SUP00174,DPT005,2024-11-26,15929.88,Approved,Buyer_A
PO0000053,SUP00011,DPT004,2024-08-22,11457.6,Approved,Buyer_B
PO0000054,SUP00009,DPT007,2024-11-15,2123.1,Approved,Buyer_A
PO0000055,SUP00005,DPT001,2024-09-02,6368.27,Approved,Buyer_E
PO0000056,SUP00024,DPT003,2024-11-14,6739.32,Approved,Buyer_F
PO0000057,SUP00010,DPT009,2024-09-08,9720.03,Approved,Buyer_A
PO0000058,SUP00017,DPT011,2024-10-23,2746.49,Approved,Buyer_B
PO0000059,SUP00008,DPT004,2024-03-04,2092.27,Approved,Buyer_C
PO0000060,SUP00181,DPT001,2024-11-28,13625.86,Approved,Buyer_E
PO0000061,SUP00279,DPT009,2024-04-26,1747.67,Approved,Buyer_C
PO0000062,SUP00029,DPT010,2024-09-24,6421.05,Approved,Buyer_A
PO0000063,SUP00110,DPT004,2024-05-11,5848.4,Approved,Buyer_D
PO0000064,SUP00242,DPT002,2024-06-02,7163.23,Approved,Buyer_A
PO0000065,SUP00320,DPT001,2024-09-07,10432.88,Approved,Buyer_D
PO0000066,SUP00092,DPT006,2024-06-30,40077.51,Approved,Buyer_F
PO0000067,SUP00255,DPT011,2024-08-27,1636.82,Approved,Buyer_A
PO0000068,SUP00267,DPT007,2024-01-27,19469.06,Approved,Buyer_F
PO0000069,SUP00197,DPT003,2024-10-06,657.1,Approved,Buyer_D
PO0000070,SUP00026,DPT006,2024-05-16,32653.62,Approved,Buyer_A
PO0000071,SUP00003,DPT009,2024-09-21,1050.61,Approved,Buyer_B
PO0000072,SUP00001,DPT004,2024-04-05,92632.44,Approved,Buyer_B
PO0000073,SUP00027,DPT009,2024-07-18,5487.52,Approved,Buyer_F
PO0000074,SUP00029,DPT004,2024-07-16,29448.05,Approved,Buyer_E
PO0000075,SUP00021,DPT003,2024-02-16,23960.36,Pending,Buyer_C
PO0000076,SUP00066,DPT005,2024-06-07,5237.04,Approved,Buyer_D
PO0000077,SUP00056,DPT004,2024-07-31,5654.75,Approved,Buyer_C
PO0000078,SUP00224,DPT012,2024-10-07,3508.14,Rejected,Buyer_C
PO0000079,SUP00004,DPT005,2024-10-24,17807.41,Approved,Buyer_D
PO0000080,SUP00008,DPT003,2024-05-08,5305.67,Approved,Buyer_B
PO0000081,SUP00198,DPT004,2024-08-03,3572.48,Rejected,Buyer_E
PO0000082,SUP00231,DPT005,2024-02-28,13867.12,Approved,Buyer_F
PO0000083,SUP00317,DPT003,2024-10-27,3303.78,Approved,Buyer_F
PO0000084,SUP00246,DPT008,2024-10-17,5831.43,Approved,Buyer_B
PO0000085,SUP00256,DPT003,2024-11-30,9019.15,Approved,Buyer_C
PO0000086,SUP00011,DPT003,2024-06-11,4262.33,Approved,Buyer_B
PO0000087,SUP00020,DPT006,2024-04-30,4956.48,Approved,Buyer_D
PO0000088,SUP00009,DPT001,2024-09-10,37608.42,Approved,Buyer_B
PO0000089,SUP00088,DPT006,2024-08-30,6606.21,Approved,Buyer_C
PO0000090,SUP00284,DPT004,2024-03-12,5655.44,Pending,Buyer_A
PO0000091,SUP00014,DPT004,2024-06-29,6801.34,Approved,Buyer_D
PO0000092,SUP00059,DPT007,2024-08-03,12764.91,Pending,Buyer_D
PO0000093,SUP00010,DPT008,2024-06-01,2881.7,Approved,Buyer_D
PO0000094,SUP00006,DPT009,2024-05-04,12421.89,Approved,Buyer_C
PO0000095,SUP00007,DPT003,2024-03-21,10465.3,Approved,Buyer_E
PO0000096,SUP00002,DPT003,2024-05-17,1354.71,Approved,Buyer_D
PO0000097,SUP00291,DPT007,2024-03-23,48740.01,Approved,Buyer_B
PO0000098,SUP00020,DPT005,2024-04-10,34919.95,Approved,Buyer_C
PO0000099,SUP00223,DPT006,2024-03-02,3638.9,Approved,Buyer_D
PO0000100,SUP00132,DPT005,2024-05-06,2637.46,Approved,Buyer_A
PO0000101,SUP00007,DPT009,2024-07-30,10178.69,Approved,Buyer_C
PO0000102,SUP00006,DPT002,2024-05-06,1947.18,Rejected,Buyer_F
PO0000103,SUP00210,DPT005,2024-02-17,31706.69,Rejected,Buyer_C
PO0000104,SUP00009,DPT002,2024-09-25,5072.28,Approved,Buyer_D
PO0000105,SUP00269,DPT004,2024-05-24,41019.67,Approved,Buyer_E
PO0000106,SUP00005,DPT007,2024-07-14,3553.17,Approved,Buyer_B
PO0000107,SUP00130,DPT004,2024-06-24,7243.05,Approved,Buyer_E
PO0000108,SUP00211,DPT003,2024-06-18,28773.57,Rejected,Buyer_A
PO0000109,SUP00008,DPT010,2024-05-26,5865.02,Approved,Buyer_C
PO0000110,SUP00010,DPT009,2024-09-10,10636.98,Approved,Buyer_D
PO0000111,SUP00300,DPT005,2024-10-13,24164.96,Approved,Buyer_B
PO0000112,SUP00009,DPT011,2024-10-29,4646.89,Approved,Buyer_E
PO0000113,SUP00023,DPT004,2024-05-28,2294.48,Rejected,Buyer_A
PO0000114,SUP00023,DPT009,2024-04-24,1884.26,Approved,Buyer_D
PO0000115,SUP00009,DPT002,2024-01-28,14522.18,Approved,Buyer_D
PO0000116,SUP00188,DPT003,2024-05-28,11953.49,Approved,Buyer_E
PO0000117,SUP00186,DPT003,2024-11-28,23427.44,Approved,Buyer_B
PO0000118,SUP00018,DPT001,2024-03-28,6160.76,Approved,Buyer_A
PO0000119,SUP00223,DPT004,2024-10-10,1937.71,Approved,Buyer_D
PO0000120,SUP00007,DPT002,2024-09-10,770.66,Approved,Buyer_F
PO0000121,SUP00001,DPT006,2024-08-09,142623.35,Approved,Buyer_E
PO0000122,SUP00067,DPT002,2024-07-08,13724.3,Pending,Buyer_B
PO0000123,SUP00317,DPT001,2024-09-10,9290.91,Approved,Buyer_C
PO0000124,SUP00002,DPT012,2024-02-02,10706.86,Approved,Buyer_B
PO0000125,SUP00007,DPT006,2024-02-12,1936.55,Approved,Buyer_E
PO0000126,SUP00037,DPT011,2024-03-06,3659.67,Rejected,Buyer_D
PO0000127,SUP00208,DPT004,2024-09-13,46320.05,Approved,Buyer_C
PO0000128,SUP00003,DPT001,2024-05-24,15651.9,Pending,Buyer_A
