invoice_id,invoice_number,supplier_id,supplier_name,department_id,department_name,invoice_date,invoice_amount,paid_flag,audit_risk_score,audit_risk_level,Rule_Code,Rule_Name,Risk_Category,Severity,Risk_Weight,Rule_Description
INV0000003,FCT-647518,SUP00011,Supplier_0011,DPT002,Procurement,2024-06-22,1411.51,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000004,FCT-802936,SUP00017,Supplier_0017,DPT006,Marketing,2024-10-24,3925.9,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000013,FCT-638246,SUP00028,Supplier_0028,DPT004,Operations,2024-06-25,10734.8,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000024,FCT-878907,SUP00251,Supplier_0251,DPT009,Risk Management,2024-09-01,7222.41,0,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000030,FCT-956532,SUP00007,Supplier_0007,DPT011,Logistics,2024-01-11,3045.72,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000032,FCT-475442,SUP00123,Supplier_0123,DPT002,Procurement,2024-02-17,912.88,1,9.14,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000041,FCT-548582,SUP00098,Supplier_0098,DPT001,Finance,2024-12-17,1764.33,1,11.83,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000047,FCT-835194,SUP00006,Supplier_0006,DPT009,Risk Management,2024-03-09,78080.93,1,9.68,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000069,FCT-898986,SUP00006,Supplier_0006,DPT011,Logistics,2024-03-05,8393.04,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000076,FCT-620708,SUP00019,Supplier_0019,DPT002,Procurement,2024-06-24,3566.81,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000077,FCT-382198,SUP00012,Supplier_0012,DPT009,Risk Management,2024-10-03,8013.68,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
INV0000078,FCT-240507,SUP00037,Supplier_0037,DPT001,Finance,2024-04-29,1223.76,1,6.45,Low Risk,R01,Invoice without purchase order,Procurement Control,High,12,Invoice is not linked to a purchase order.
