invoice_year,invoice_month,Invoice_Count,Total_Invoice_Amount,Exception_Invoices,Average_Risk_Score,High_Risk_Invoices,Duplicate_Risk_Count,Missing_PO_Count,Late_Payment_Count,Month,Exception_Rate
2024,1,713,9725960.07,592,7.75,2,19,114,410,2024-01-01,83.03
2024,2,652,8473803.32,539,8.16,1,23,118,365,2024-02-01,82.67
2024,3,698,8779220.52,578,7.87,0,21,129,394,2024-03-01,82.81
2024,4,727,9964018.64,592,7.79,2,22,116,420,2024-04-01,81.43
2024,5,759,9542940.11,617,7.73,1,17,127,415,2024-05-01,81.29
2024,6,699,9514401.41,568,8.04,3,21,127,380,2024-06-01,81.26
2024,7,694,8687349.46,568,8.06,3,21,98,402,2024-07-01,81.84
2024,8,735,10225972.37,610,8.12,0,30,134,408,2024-08-01,82.99
2024,9,727,9255991.38,619,7.85,2,17,144,435,2024-09-01,85.14
2024,10,774,8880921.89,650,8.01,1,33,134,456,2024-10-01,83.98
2024,11,722,8976363.18,583,7.73,4,24,116,413,2024-11-01,80.75
2024,12,730,9333853.48,600,7.71,2,17,139,408,2024-12-01,82.19
