supplier_id,supplier_name,supplier_category,supplier_country,Invoice_Count,Total_Invoice_Amount,Anomaly_Count,Average_Anomaly_Score,Average_Audit_Risk_Score,Max_Combined_Priority_Score,Anomaly_Rate
SUP00003,Supplier_0003,Office Supplies,Turkey,282,3549871.85,30,39.53,7.19,64.73,10.64
SUP00002,Supplier_0002,Training,Germany,282,3877256.38,20,38.03,8.25,68.71,7.09
SUP00001,Supplier_0001,Training,Turkey,233,2431526.33,17,38.3,7.94,53.92,7.3
SUP00008,Supplier_0008,Logistics,France,269,3250205.03,14,34.25,7.76,59.47,5.2
SUP00004,Supplier_0004,Professional Services,Turkey,266,3516104.72,14,35.26,7.38,52.74,5.26
SUP00010,Supplier_0010,Facilities,Algeria,274,3646952.1,13,29.75,7.56,58.6,4.74
SUP00007,Supplier_0007,Telecom,Germany,264,3435461.61,12,32.95,7.2,59.09,4.55
SUP00023,Supplier_0023,Telecom,Germany,112,1468913.02,10,34.51,7.52,59.33,8.93
SUP00013,Supplier_0013,Professional Services,Tunisia,117,1345019.77,10,37.22,7.63,54.19,8.55
SUP00030,Supplier_0030,Logistics,France,102,1276173.34,9,35.38,12.91,60.27,8.82
SUP00006,Supplier_0006,Telecom,Algeria,278,3420743.95,7,25.87,7.63,64.24,2.52
SUP00019,Supplier_0019,Marketing Services,France,83,1225469.15,7,34.51,7.7,60.38,8.43
SUP00020,Supplier_0020,IT Services,United Arab Emirates,73,663902.14,7,37.83,6.9,51.15,9.59
SUP00016,Supplier_0016,Consulting,United Arab Emirates,69,931810.74,6,41.02,6.48,65.23,8.7
SUP00021,Supplier_0021,Maintenance,Algeria,119,1462405.71,6,31.08,13.27,56.61,5.04
SUP00024,Supplier_0024,Professional Services,Morocco,108,1493229.5,6,37.53,8.67,53.25,5.56
SUP00028,Supplier_0028,Facilities,Algeria,92,1229279.75,6,31.68,7.74,47.91,6.52
SUP00009,Supplier_0009,IT Services,Algeria,325,4126869.98,5,25.3,7.8,58.4,1.54
SUP00219,Supplier_0219,Professional Services,United Kingdom,18,232568.83,5,47.82,8.51,51.66,27.78
SUP00017,Supplier_0017,Logistics,Algeria,79,1049765.68,5,32.49,13.78,49.31,6.33
SUP00038,Supplier_0038,Consulting,Spain,24,498745.89,4,48.64,10.57,58.51,16.67
SUP00014,Supplier_0014,Telecom,Algeria,94,2084318.32,4,26.98,8.68,55.62,4.26
SUP00269,Supplier_0269,Maintenance,Morocco,19,127829.76,4,47.97,5.63,54.12,21.05
SUP00288,Supplier_0288,Facilities,Spain,19,283906.27,4,44.8,8.06,50.42,21.05
SUP00285,Supplier_0285,Logistics,Tunisia,15,297304.81,4,49.62,9.0,49.05,26.67
SUP00171,Supplier_0171,Telecom,France,24,348442.58,4,42.66,6.14,44.77,16.67
SUP00018,Supplier_0018,Marketing Services,Algeria,62,936673.89,3,30.73,7.23,68.53,4.84
SUP00074,Supplier_0074,Telecom,United Arab Emirates,21,349749.44,3,41.35,10.93,66.35,14.29
SUP00011,Supplier_0011,Marketing Services,Germany,81,894262.68,3,35.25,8.58,60.98,3.7
SUP00252,Supplier_0252,Maintenance,United Kingdom,16,436141.35,3,50.3,9.11,58.95,18.75
SUP00279,Supplier_0279,Office Supplies,Morocco,20,349721.02,3,42.39,9.33,58.86,15.0
SUP00025,Supplier_0025,Facilities,Algeria,95,1358357.43,3,31.39,7.61,56.63,3.16
SUP00079,Supplier_0079,Maintenance,United Kingdom,16,222276.29,3,49.49,6.38,55.12,18.75
SUP00027,Supplier_0027,Logistics,Algeria,88,984887.86,3,28.53,6.35,52.14,3.41
SUP00224,Supplier_0224,Maintenance,Turkey,28,575927.99,3,39.97,10.23,50.75,10.71
SUP00058,Supplier_0058,Logistics,United Kingdom,20,278451.97,3,40.8,7.31,50.17,15.0
SUP00161,Supplier_0161,Logistics,Algeria,14,395359.78,3,37.26,9.25,49.92,21.43
SUP00243,Supplier_0243,IT Services,France,28,195360.99,3,37.89,7.99,49.58,10.71
SUP00012,Supplier_0012,Training,Algeria,103,1180688.31,3,29.58,8.06,49.11,2.91
SUP00265,Supplier_0265,Logistics,Spain,16,214403.29,3,41.79,6.89,48.99,18.75
SUP00250,Supplier_0250,Facilities,United Arab Emirates,13,99575.9,3,49.39,6.29,48.85,23.08
SUP00210,Supplier_0210,IT Services,Tunisia,21,199053.52,3,39.27,6.91,48.11,14.29
SUP00119,Supplier_0119,Marketing Services,Morocco,16,171765.08,3,45.24,7.66,45.63,18.75
SUP00281,Supplier_0281,Telecom,Germany,8,300452.51,2,52.96,15.26,63.56,25.0
SUP00073,Supplier_0073,Marketing Services,France,22,726513.09,2,40.55,7.4,61.99,9.09
SUP00202,Supplier_0202,Marketing Services,Spain,13,208911.74,2,48.36,13.98,60.62,15.38
SUP00117,Supplier_0117,Facilities,United Arab Emirates,12,318502.98,2,49.7,10.35,60.52,16.67
SUP00225,Supplier_0225,Telecom,Germany,22,406911.91,2,35.5,7.7,60.29,9.09
SUP00045,Supplier_0045,Facilities,France,17,384271.52,2,38.79,6.51,58.56,11.76
SUP00078,Supplier_0078,Marketing Services,Germany,19,269071.13,2,39.81,8.83,57.29,10.53
SUP00034,Supplier_0034,Marketing Services,France,8,169485.6,2,38.85,7.66,55.39,25.0
SUP00063,Supplier_0063,Professional Services,United Kingdom,22,396746.93,2,39.49,8.9,55.33,9.09
SUP00227,Supplier_0227,Office Supplies,Morocco,11,99786.43,2,49.36,10.9,53.55,18.18
SUP00216,Supplier_0216,Marketing Services,Spain,7,77439.19,2,47.2,14.29,53.24,28.57
SUP00212,Supplier_0212,Marketing Services,United Arab Emirates,11,47615.29,2,48.81,8.16,50.0,18.18
SUP00236,Supplier_0236,IT Services,Turkey,17,278386.24,2,35.99,5.92,49.46,11.76
SUP00275,Supplier_0275,Professional Services,Spain,14,400046.61,2,40.39,7.03,48.38,14.29
SUP00226,Supplier_0226,Consulting,Algeria,12,132659.41,2,33.56,8.6,48.34,16.67
SUP00057,Supplier_0057,Training,Tunisia,21,269334.02,2,41.62,7.58,48.2,9.52
SUP00186,Supplier_0186,Marketing Services,Algeria,13,114137.69,2,31.15,11.0,47.79,15.38
