supplier_category,Invoice_Count,Total_Invoice_Amount,Exception_Invoices,Average_Risk_Score,High_Risk_Invoices,Duplicate_Risk_Count,Missing_Tax_ID_Count,Exception_Rate,Spend_Share
Maintenance,483,6789428.32,409,9.14,2,21,133,84.68,6.1
Logistics,895,11352132.21,758,8.66,2,26,181,84.69,10.19
Training,878,10535762.6,733,8.07,4,29,30,83.49,9.46
Facilities,891,11981678.11,709,7.85,3,16,48,79.57,10.76
Professional Services,930,12154454.82,763,7.82,3,36,35,82.04,10.91
Telecom,1377,19214480.87,1133,7.79,4,47,11,82.28,17.25
Marketing Services,900,11848044.25,743,7.76,2,23,43,82.56,10.64
Office Supplies,654,7868948.96,536,7.6,1,20,11,81.96,7.07
IT Services,783,9343055.13,640,7.47,0,22,0,81.74,8.39
Consulting,839,10272810.56,692,7.27,0,25,10,82.48,9.22
