supplier_id,supplier_name,supplier_category,supplier_country,Invoice_Count,Total_Invoice_Amount,Average_Invoice_Amount,Paid_Invoices,Average_Audit_Risk_Score,Max_Audit_Risk_Score,Average_Rule_Count,Exception_Invoices,High_Risk_Invoices,Medium_Risk_Invoices,Missing_PO_Count,Duplicate_Risk_Count,Payment_Before_Invoice_Count,Very_Late_Payment_Count,Weekend_Payment_Count,Cash_Payment_Count,PO_Supplier_Mismatch_Count,PO_Department_Mismatch_Count,Invoice_Exceeds_PO_Count,PO_Not_Approved_Count,Missing_Tax_ID_Flag,Spend_Share,Exception_Rate,High_Risk_Invoice_Rate,Medium_Risk_Invoice_Rate,Critical_Rule_Triggers,Procurement_Exception_Count,Payment_Exception_Count,Procurement_Exception_Rate,Payment_Exception_Rate,avg_risk_score_scaled,exception_rate_scaled,high_risk_rate_scaled,critical_triggers_scaled,spend_share_scaled,procurement_exception_scaled,payment_exception_scaled,supplier_risk_score,supplier_risk_level,primary_supplier_risk_driver,Supplier_Audit_Recommendation
SUP00184,Supplier_0184,Facilities,Algeria,8,197372.23,24671.53,8,14.31,31.18,2.62,8,1,1,2,0,1,3,2,0,1,0,5,2,0,0.18,100.0,12.5,12.5,2,10,7,125.0,87.5,0.9250895344210108,1.0,1.0,0.058823529411764705,0.04756665016419518,0.7499999999999999,0.6584158415841583,66.59,High Supplier Risk,High exception rate,"Prioritize audit review for Supplier_0184. Main risk driver: High exception rate. Perform detailed invoice testing, supplier master data review and payment control validation."
SUP00301,Supplier_0301,Facilities,France,17,123829.93,7284.11,16,14.64,31.72,2.82,17,1,6,1,1,1,3,7,0,2,1,5,3,1,0.11,100.0,5.88,35.29,4,12,11,70.59,64.71,0.9513354088153367,1.0,0.4705882352941176,0.11764705882352941,0.029741435951098922,0.4235294117647059,0.4688410017472335,58.42,High Supplier Risk,High exception rate,"Prioritize audit review for Supplier_0301. Main risk driver: High exception rate. Perform detailed invoice testing, supplier master data review and payment control validation."
SUP00021,Supplier_0021,Maintenance,Algeria,119,1462405.71,12289.12,105,13.27,34.41,2.56,119,2,41,30,4,2,15,32,1,10,3,32,9,1,1.31,100.0,1.68,34.45,16,84,57,70.59,47.9,0.8419746728775076,1.0,0.13445378151260504,0.47058823529411764,0.35418600756447505,0.4235294117647059,0.32906231799650554,58.21,High Supplier Risk,High exception rate,"Prioritize audit review for Supplier_0021. Main risk driver: High exception rate. Perform detailed invoice testing, supplier master data review and payment control validation."
SUP00017,Supplier_0017,Logistics,Algeria,79,1049765.68,13288.17,70,13.78,30.11,2.65,79,1,36,20,0,4,14,21,2,5,4,26,7,1,0.94,100.0,1.27,45.57,9,62,45,78.48,56.96,0.8826607967681979,1.0,0.10126582278481014,0.2647058823529412,0.25417014012969996,0.470886075949367,0.4044366461962652,55.64,High Supplier Risk,High exception rate,"Prioritize audit review for Supplier_0017. Main risk driver: High exception rate. Perform detailed invoice testing, supplier master data review and payment control validation."
SUP00147,Supplier_0147,Marketing Services,United Arab Emirates,17,177322.62,10430.74,17,13.13,30.11,2.47,17,1,4,3,0,1,2,4,0,1,1,7,2,1,0.16,100.0,5.88,23.53,2,14,8,82.35,47.06,0.8305049039114254,1.0,0.4705882352941176,0.058823529411764705,0.04270701709398882,0.49411764705882344,0.32207338380896905,54.33,High Supplier Risk,High exception rate,"Prioritize audit review for Supplier_0147. Main risk driver: High exception rate. Perform detailed invoice testing, supplier master data review and payment control validation."
SUP00216,Supplier_0216,Marketing Services,Spain,7,77439.19,11062.74,7,14.29,20.97,3.0,7,0,3,1,0,1,0,7,0,1,0,4,3,0,0.07,100.0,0.0,42.86,2,9,9,128.57,128.57,0.9229719743050423,1.0,0.0,0.058823529411764705,0.018497228494926733,0.7714285714285715,1.0,53.86,High Supplier Risk,High exception rate,"Prioritize audit review for Supplier_0216. Main risk driver: High exception rate. Perform detailed invoice testing, supplier master data review and payment control validation."
SUP00281,Supplier_0281,Telecom,Germany,8,300452.51,37556.56,6,15.26,22.58,2.75,8,0,5,2,1,0,1,1,1,1,0,6,3,0,0.27,100.0,0.0,62.5,2,12,5,150.0,62.5,1.0,1.0,0.0,0.058823529411764705,0.07255129263724727,0.8999999999999999,0.45049504950495045,53.76,High Supplier Risk,High average transaction risk,"Prioritize audit review for Supplier_0281. Main risk driver: High average transaction risk. Perform detailed invoice testing, supplier master data review and payment control validation."
SUP00106,Supplier_0106,Office Supplies,Algeria,3,37655.53,12551.84,3,14.88,20.43,2.67,3,0,2,0,0,0,1,1,0,1,0,3,1,0,0.03,100.0,0.0,66.67,1,5,2,166.67,66.67,0.9698899058230535,1.0,0.0,0.029411764705882353,0.008854447922643996,1.0,0.485148514851485,53.17,High Supplier Risk,High exception rate,"Prioritize audit review for Supplier_0106. Main risk driver: High exception rate. Perform detailed invoice testing, supplier master data review and payment control validation."
SUP00009,Supplier_0009,IT Services,Algeria,325,4126869.98,12698.06,312,7.8,28.49,1.57,277,0,41,49,12,8,47,90,4,14,10,116,37,0,3.71,85.23,0.0,12.62,34,226,170,69.54,52.31,0.4064403563010806,0.7415384615384615,0.0,1.0,1.0,0.4172307692307691,0.3657273419649657,53.02,High Supplier Risk,Critical audit rule triggers,"Prioritize audit review for Supplier_0009. Main risk driver: Critical audit rule triggers. Perform detailed invoice testing, supplier master data review and payment control validation."
SUP00030,Supplier_0030,Logistics,France,102,1276173.34,12511.5,89,12.91,29.57,2.54,102,0,32,18,4,2,15,30,2,3,6,33,7,1,1.15,100.0,0.0,31.37,9,67,54,65.69,52.94,0.8132300273869996,1.0,0.0,0.2647058823529412,0.30904692585690546,0.3941176470588235,0.3709959231217239,51.93,High Supplier Risk,High exception rate,"Prioritize audit review for Supplier_0030. Main risk driver: High exception rate. Perform detailed invoice testing, supplier master data review and payment control validation."
