supplier_id,Invoice_Count,Total_Invoice_Amount,Spend_Share,supplier_name,supplier_category,supplier_country
SUP00009,325,4126869.98,3.71,Supplier_0009,IT Services,Algeria
SUP00005,288,4000165.6,3.59,Supplier_0005,Consulting,Algeria
SUP00002,282,3877256.38,3.48,Supplier_0002,Training,Germany
SUP00010,274,3646952.1,3.27,Supplier_0010,Facilities,Algeria
SUP00003,282,3549871.85,3.19,Supplier_0003,Office Supplies,Turkey
SUP00004,266,3516104.72,3.16,Supplier_0004,Professional Services,Turkey
SUP00007,264,3435461.61,3.08,Supplier_0007,Telecom,Germany
SUP00006,278,3420743.95,3.07,Supplier_0006,Telecom,Algeria
SUP00008,269,3250205.03,2.92,Supplier_0008,Logistics,France
SUP00001,233,2431526.33,2.18,Supplier_0001,Training,Turkey
SUP00014,94,2084318.3199999998,1.87,Supplier_0014,Telecom,Algeria
SUP00015,104,1678146.75,1.51,Supplier_0015,Telecom,Algeria
SUP00024,108,1493229.5,1.34,Supplier_0024,Professional Services,Morocco
SUP00023,112,1468913.02,1.32,Supplier_0023,Telecom,Germany
SUP00021,119,1462405.71,1.31,Supplier_0021,Maintenance,Algeria
SUP00025,95,1358357.43,1.22,Supplier_0025,Facilities,Algeria
SUP00013,117,1345019.77,1.21,Supplier_0013,Professional Services,Tunisia
SUP00030,102,1276173.34,1.15,Supplier_0030,Logistics,France
SUP00028,92,1229279.75,1.1,Supplier_0028,Facilities,Algeria
SUP00019,83,1225469.15,1.1,Supplier_0019,Marketing Services,France
SUP00026,88,1183861.53,1.06,Supplier_0026,Telecom,Algeria
SUP00012,103,1180688.31,1.06,Supplier_0012,Training,Algeria
SUP00029,82,1131199.95,1.02,Supplier_0029,Marketing Services,Algeria
SUP00017,79,1049765.68,0.94,Supplier_0017,Logistics,Algeria
SUP00027,88,984887.86,0.88,Supplier_0027,Logistics,Algeria
SUP00022,82,962821.82,0.86,Supplier_0022,Consulting,Algeria
SUP00018,62,936673.89,0.84,Supplier_0018,Marketing Services,Algeria
SUP00016,69,931810.74,0.84,Supplier_0016,Consulting,United Arab Emirates
SUP00011,81,894262.68,0.8,Supplier_0011,Marketing Services,Germany
SUP00177,35,762069.87,0.68,Supplier_0177,Telecom,Algeria
SUP00073,22,726513.0900000001,0.65,Supplier_0073,Marketing Services,France
SUP00020,73,663902.14,0.6,Supplier_0020,IT Services,United Arab Emirates
SUP00214,29,605122.24,0.54,Supplier_0214,IT Services,Algeria
SUP00224,28,575927.99,0.52,Supplier_0224,Maintenance,Turkey
SUP00038,24,498745.89,0.45,Supplier_0038,Consulting,Spain
SUP00273,20,473944.14,0.43,Supplier_0273,Logistics,Algeria
SUP00125,25,467320.18,0.42,Supplier_0125,Facilities,Algeria
SUP00093,31,460992.15,0.41,Supplier_0093,Maintenance,Algeria
SUP00252,16,436141.35,0.39,Supplier_0252,Maintenance,United Kingdom
SUP00284,15,430844.22000000003,0.39,Supplier_0284,Telecom,Algeria
SUP00076,11,421997.99000000005,0.38,Supplier_0076,Telecom,Algeria
SUP00080,14,407922.66,0.37,Supplier_0080,Maintenance,Algeria
SUP00225,22,406911.91,0.37,Supplier_0225,Telecom,Germany
SUP00055,22,401555.01,0.36,Supplier_0055,Marketing Services,Tunisia
SUP00317,16,400352.92,0.36,Supplier_0317,Office Supplies,Germany
SUP00275,14,400046.61000000004,0.36,Supplier_0275,Professional Services,Spain
SUP00063,22,396746.93,0.36,Supplier_0063,Professional Services,United Kingdom
SUP00161,14,395359.77999999997,0.36,Supplier_0161,Logistics,Algeria
SUP00109,25,388886.65,0.35,Supplier_0109,Facilities,Algeria
SUP00045,17,384271.52,0.35,Supplier_0045,Facilities,France
SUP00168,8,374244.54,0.34,Supplier_0168,Professional Services,United Kingdom
SUP00062,14,373961.20999999996,0.34,Supplier_0062,Professional Services,Algeria
SUP00238,28,363825.64,0.33,Supplier_0238,Facilities,Algeria
SUP00150,19,352933.36,0.32,Supplier_0150,Marketing Services,Algeria
SUP00074,21,349749.44,0.31,Supplier_0074,Telecom,United Arab Emirates
SUP00279,20,349721.02,0.31,Supplier_0279,Office Supplies,Morocco
SUP00171,24,348442.58,0.31,Supplier_0171,Telecom,France
SUP00319,23,347340.83999999997,0.31,Supplier_0319,Facilities,Algeria
SUP00088,29,328727.88,0.3,Supplier_0088,Marketing Services,Algeria
SUP00116,18,327143.45,0.29,Supplier_0116,Office Supplies,Algeria
SUP00097,23,326507.77,0.29,Supplier_0097,IT Services,Spain
SUP00299,15,322732.58,0.29,Supplier_0299,Marketing Services,Algeria
SUP00182,13,319418.94,0.29,Supplier_0182,IT Services,France
SUP00117,12,318502.98,0.29,Supplier_0117,Facilities,United Arab Emirates
SUP00100,20,315095.46,0.28,Supplier_0100,Logistics,Algeria
SUP00037,26,303930.7,0.27,Supplier_0037,Marketing Services,Spain
SUP00281,8,300452.51,0.27,Supplier_0281,Telecom,Germany
SUP00142,13,297938.14,0.27,Supplier_0142,Consulting,Tunisia
SUP00285,15,297304.81,0.27,Supplier_0285,Logistics,Tunisia
SUP00044,16,293014.13,0.26,Supplier_0044,Professional Services,Algeria
SUP00031,19,289726.72,0.26,Supplier_0031,Facilities,Algeria
SUP00192,13,286143.44999999995,0.26,Supplier_0192,Maintenance,Turkey
SUP00288,19,283906.27,0.25,Supplier_0288,Facilities,Spain
SUP00129,18,279511.26,0.25,Supplier_0129,Marketing Services,Algeria
SUP00058,20,278451.97,0.25,Supplier_0058,Logistics,United Kingdom
SUP00236,17,278386.24,0.25,Supplier_0236,IT Services,Turkey
SUP00266,14,276362.54,0.25,Supplier_0266,Training,Algeria
SUP00057,21,269334.02,0.24,Supplier_0057,Training,Tunisia
SUP00078,19,269071.13,0.24,Supplier_0078,Marketing Services,Germany
SUP00228,14,267331.12,0.24,Supplier_0228,Facilities,United Arab Emirates
SUP00233,18,266617.06,0.24,Supplier_0233,Professional Services,France
SUP00115,13,266431.51,0.24,Supplier_0115,Training,Turkey
SUP00092,15,261814.01,0.24,Supplier_0092,Telecom,Algeria
SUP00130,23,260803.55,0.23,Supplier_0130,Training,France
SUP00081,26,260556.7,0.23,Supplier_0081,IT Services,Algeria
SUP00098,11,257508.56,0.23,Supplier_0098,Maintenance,Algeria
SUP00134,18,253721.58000000002,0.23,Supplier_0134,IT Services,Algeria
SUP00113,16,253573.81,0.23,Supplier_0113,Training,United Arab Emirates
SUP00257,21,253386.71,0.23,Supplier_0257,Facilities,Algeria
SUP00169,8,249442.54000000004,0.22,Supplier_0169,Marketing Services,Tunisia
SUP00253,18,246666.85,0.22,Supplier_0253,Maintenance,Turkey
SUP00091,19,244821.18,0.22,Supplier_0091,IT Services,Algeria
SUP00297,20,243942.8,0.22,Supplier_0297,Logistics,Algeria
SUP00123,19,242056.28,0.22,Supplier_0123,Maintenance,Germany
SUP00153,19,238388.06,0.21,Supplier_0153,Office Supplies,Spain
SUP00096,16,237616.62,0.21,Supplier_0096,Maintenance,France
SUP00274,14,234512.86000000002,0.21,Supplier_0274,Consulting,Turkey
SUP00219,18,232568.83000000002,0.21,Supplier_0219,Professional Services,United Kingdom
SUP00042,22,227433.05,0.2,Supplier_0042,Office Supplies,Algeria
SUP00086,17,226578.66999999998,0.2,Supplier_0086,Professional Services,Algeria
SUP00114,14,225449.41,0.2,Supplier_0114,IT Services,Algeria
SUP00138,15,225130.71,0.2,Supplier_0138,Telecom,Algeria
SUP00163,15,224663.12,0.2,Supplier_0163,Logistics,Algeria
SUP00178,20,224244.83000000002,0.2,Supplier_0178,Marketing Services,Algeria
SUP00249,24,222579.72,0.2,Supplier_0249,Marketing Services,Algeria
SUP00079,16,222276.29,0.2,Supplier_0079,Maintenance,United Kingdom
SUP00146,19,220362.57,0.2,Supplier_0146,Consulting,Algeria
SUP00179,22,217576.86,0.2,Supplier_0179,Telecom,Germany
SUP00128,17,217431.38,0.2,Supplier_0128,Marketing Services,Algeria
SUP00298,13,214892.37,0.19,Supplier_0298,Training,Algeria
SUP00265,16,214403.29,0.19,Supplier_0265,Logistics,Spain
SUP00259,12,213226.64,0.19,Supplier_0259,Maintenance,Algeria
SUP00107,18,211775.28999999998,0.19,Supplier_0107,Office Supplies,Algeria
SUP00174,17,211690.84,0.19,Supplier_0174,Telecom,Algeria
SUP00287,12,211299.69,0.19,Supplier_0287,Professional Services,Algeria
SUP00202,13,208911.74,0.19,Supplier_0202,Marketing Services,Spain
SUP00059,14,208180.94,0.19,Supplier_0059,Training,Algeria
SUP00066,12,207709.02000000002,0.19,Supplier_0066,Consulting,Algeria
SUP00240,14,199857.59,0.18,Supplier_0240,Marketing Services,Germany
SUP00302,16,199196.34,0.18,Supplier_0302,Logistics,Algeria
SUP00210,21,199053.52,0.18,Supplier_0210,IT Services,Tunisia
SUP00156,13,197522.55,0.18,Supplier_0156,Professional Services,United Arab Emirates
SUP00184,8,197372.23,0.18,Supplier_0184,Facilities,Algeria
SUP00243,28,195360.99,0.18,Supplier_0243,IT Services,France
